Estimate Status,Year,Wave,Fishing Mode,Fishing Area,Angler Trips,PSE
FINAL,2004,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),54204,28.2
FINAL,2004,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,3285,43.3
FINAL,2005,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),182309,17.2
FINAL,2005,JANUARY/FEBRUARY,SHORE,INLAND,81132,18.9
FINAL,2005,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),29848,30.5
FINAL,2005,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),62410,29.5
FINAL,2005,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,2713,46
FINAL,2005,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),238414,13.5
FINAL,2005,MARCH/APRIL,SHORE,INLAND,80235,16.6
FINAL,2005,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),31984,23.3
FINAL,2005,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),50077,22.5
FINAL,2005,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,2262,42.5
FINAL,2005,MAY/JUNE,SHORE,OCEAN (<= 3 MI),223748,15.9
FINAL,2005,MAY/JUNE,SHORE,INLAND,96443,17.5
FINAL,2005,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),35875,28.1
FINAL,2005,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),72907,27.2
FINAL,2005,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,5015,37.5
FINAL,2005,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),299401,17.6
FINAL,2005,JULY/AUGUST,SHORE,INLAND,104635,19.3
FINAL,2005,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),21845,19.6
FINAL,2005,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),60271,17.6
FINAL,2005,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,1579,43.4
FINAL,2005,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),175787,18.2
FINAL,2005,SEPTEMBER/OCTOBER,SHORE,INLAND,57602,21.1
FINAL,2005,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),16731,37.2
FINAL,2005,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),49524,35.6
FINAL,2005,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,4685,42.8
FINAL,2005,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),271161,17.8
FINAL,2005,NOVEMBER/DECEMBER,SHORE,INLAND,81496,21
FINAL,2005,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),47546,25
FINAL,2005,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),81005,24
FINAL,2005,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,1761,60.5
FINAL,2006,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),196129,16.6
FINAL,2006,JANUARY/FEBRUARY,SHORE,INLAND,135890,17.5
FINAL,2006,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),31279,25.8
FINAL,2006,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),62000,24.1
FINAL,2006,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),159034,17
FINAL,2006,MARCH/APRIL,SHORE,INLAND,88098,18.5
FINAL,2006,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),37171,29.9
FINAL,2006,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),54150,29.3
FINAL,2006,MAY/JUNE,SHORE,OCEAN (<= 3 MI),251482,14.3
FINAL,2006,MAY/JUNE,SHORE,INLAND,95852,16.5
FINAL,2006,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),17454,21.5
FINAL,2006,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),59636,18.7
FINAL,2006,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,873,59.3
FINAL,2006,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),279568,17.8
FINAL,2006,JULY/AUGUST,SHORE,INLAND,127502,19.1
FINAL,2006,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),29840,21.1
FINAL,2006,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),80881,19.1
FINAL,2006,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,1571,52.2
FINAL,2006,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),327306,15.3
FINAL,2006,SEPTEMBER/OCTOBER,SHORE,INLAND,51907,21.5
FINAL,2006,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),36515,23
FINAL,2006,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),63031,21.9
FINAL,2006,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,2173,48.2
FINAL,2006,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),284044,17.1
FINAL,2006,NOVEMBER/DECEMBER,SHORE,INLAND,77467,21.2
FINAL,2006,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),27007,22
FINAL,2006,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),61087,18.9
FINAL,2006,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,5144,38.3
FINAL,2007,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),166407,18.6
FINAL,2007,JANUARY/FEBRUARY,SHORE,INLAND,47545,21.1
FINAL,2007,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),15030,21.8
FINAL,2007,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),38886,19.5
FINAL,2007,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,2147,37.3
FINAL,2007,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),279003,21.5
FINAL,2007,MARCH/APRIL,SHORE,INLAND,49713,25
FINAL,2007,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),19908,21.3
FINAL,2007,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),40812,19.2
FINAL,2007,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,664,71.6
FINAL,2007,MAY/JUNE,SHORE,OCEAN (<= 3 MI),374120,18.8
FINAL,2007,MAY/JUNE,SHORE,INLAND,109450,21.9
FINAL,2007,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),15535,22.6
FINAL,2007,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),52507,19.4
FINAL,2007,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,311,99.8
FINAL,2007,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),252424,15.7
FINAL,2007,JULY/AUGUST,SHORE,INLAND,87094,18.9
FINAL,2007,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),32111,27.7
FINAL,2007,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),78993,25.6
FINAL,2007,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,7707,36.9
FINAL,2007,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),339112,18
FINAL,2007,SEPTEMBER/OCTOBER,SHORE,INLAND,93179,21
FINAL,2007,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),30314,30
FINAL,2007,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),70274,29
FINAL,2007,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,4134,39.5
FINAL,2007,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),247804,17.6
FINAL,2007,NOVEMBER/DECEMBER,SHORE,INLAND,55877,21.8
FINAL,2007,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),16530,22.4
FINAL,2007,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),45520,20.1
FINAL,2007,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,3560,32.2
FINAL,2008,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),255883,16.2
FINAL,2008,JANUARY/FEBRUARY,SHORE,INLAND,79549,19.4
FINAL,2008,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),10339,23.1
FINAL,2008,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),34626,20.7
FINAL,2008,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,656,52.7
FINAL,2008,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),262730,20.3
FINAL,2008,MARCH/APRIL,SHORE,INLAND,75066,25.6
FINAL,2008,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),12056,36.6
FINAL,2008,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),102013,26.6
FINAL,2008,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,2782,61
FINAL,2008,MAY/JUNE,SHORE,OCEAN (<= 3 MI),175223,13.4
FINAL,2008,MAY/JUNE,SHORE,INLAND,59320,16.7
FINAL,2008,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),21048,29.2
FINAL,2008,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),77717,27.4
FINAL,2008,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,4533,37
FINAL,2008,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),381824,17.3
FINAL,2008,JULY/AUGUST,SHORE,INLAND,42425,29.6
FINAL,2008,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),26352,22.9
FINAL,2008,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),52704,21.1
FINAL,2008,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,2160,47.8
FINAL,2008,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),385171,16.1
FINAL,2008,SEPTEMBER/OCTOBER,SHORE,INLAND,42548,26.8
FINAL,2008,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),49476,31.9
FINAL,2008,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),78533,31.1
FINAL,2008,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),176395,14.5
FINAL,2008,NOVEMBER/DECEMBER,SHORE,INLAND,29987,21.2
FINAL,2008,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),34292,25
FINAL,2008,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),46080,24.3
FINAL,2008,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,9109,32.2
FINAL,2009,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),189027,17.3
FINAL,2009,JANUARY/FEBRUARY,SHORE,INLAND,50929,20.9
FINAL,2009,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),15593,23.6
FINAL,2009,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),30136,22.5
FINAL,2009,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,2278,34.4
FINAL,2009,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),298595,14.7
FINAL,2009,MARCH/APRIL,SHORE,INLAND,51482,20.5
FINAL,2009,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),26503,27.2
FINAL,2009,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),45644,26.4
FINAL,2009,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,7656,31.5
FINAL,2009,MAY/JUNE,SHORE,OCEAN (<= 3 MI),276111,12.6
FINAL,2009,MAY/JUNE,SHORE,INLAND,85200,16.9
FINAL,2009,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),23682,19.5
FINAL,2009,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),82357,16.6
FINAL,2009,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,8837,25
FINAL,2009,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),274301,15.7
FINAL,2009,JULY/AUGUST,SHORE,INLAND,31349,23.6
FINAL,2009,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),22301,35.2
FINAL,2009,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),58304,34.3
FINAL,2009,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,4299,41.1
FINAL,2009,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),235156,13.5
FINAL,2009,SEPTEMBER/OCTOBER,SHORE,INLAND,23977,22.8
FINAL,2009,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),26607,24.1
FINAL,2009,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),35973,23.7
FINAL,2009,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,3193,33.7
FINAL,2009,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),173344,14.2
FINAL,2009,NOVEMBER/DECEMBER,SHORE,INLAND,32449,20.3
FINAL,2009,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),24679,26.9
FINAL,2009,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),20808,27.1
FINAL,2009,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,2258,36.4
FINAL,2010,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),255531,17.4
FINAL,2010,JANUARY/FEBRUARY,SHORE,INLAND,17932,37.8
FINAL,2010,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),25828,41.3
FINAL,2010,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),30366,41.1
FINAL,2010,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,4537,47.3
FINAL,2010,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),326778,19.4
FINAL,2010,MARCH/APRIL,SHORE,INLAND,46892,25.2
FINAL,2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),33984,30.8
FINAL,2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),51817,30.3
FINAL,2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,5384,37.8
FINAL,2010,MAY/JUNE,SHORE,OCEAN (<= 3 MI),381945,15.7
FINAL,2010,MAY/JUNE,SHORE,INLAND,35710,25.1
FINAL,2010,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),23952,19.4
FINAL,2010,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),35728,18.7
FINAL,2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,3593,28.8
FINAL,2010,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),295062,15
FINAL,2010,JULY/AUGUST,SHORE,INLAND,24496,25.2
FINAL,2010,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),19868,22.4
FINAL,2010,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),36820,21.5
FINAL,2010,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,2552,33.1
FINAL,2010,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),250841,18.9
FINAL,2010,SEPTEMBER/OCTOBER,SHORE,INLAND,25908,27.4
FINAL,2010,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),40915,20.4
FINAL,2010,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),64295,19.5
FINAL,2010,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,5010,33.5
FINAL,2010,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),212760,18.1
FINAL,2010,NOVEMBER/DECEMBER,SHORE,INLAND,32842,26.1
FINAL,2010,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),39231,30
FINAL,2010,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),55891,29.4
FINAL,2010,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,3762,45.7
FINAL,2011,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),135922,17.6
FINAL,2011,JANUARY/FEBRUARY,SHORE,INLAND,15272,27.2
FINAL,2011,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),10311,25.6
FINAL,2011,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),16552,24.6
FINAL,2011,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,2442,32.5
FINAL,2011,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),172258,18.6
FINAL,2011,MARCH/APRIL,SHORE,INLAND,22384,26.6
FINAL,2011,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),13635,25.3
FINAL,2011,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),29839,23.7
FINAL,2011,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,5928,28.6
FINAL,2011,MAY/JUNE,SHORE,OCEAN (<= 3 MI),205203,15
FINAL,2011,MAY/JUNE,SHORE,INLAND,21660,26.2
FINAL,2011,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11778,26.9
FINAL,2011,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),26152,25.2
FINAL,2011,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,1597,41.7
FINAL,2011,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),244687,21.4
FINAL,2011,JULY/AUGUST,SHORE,INLAND,3059,60
FINAL,2011,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11384,23
FINAL,2011,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),20575,22.2
FINAL,2011,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,313,60.2
FINAL,2011,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),155450,19.7
FINAL,2011,SEPTEMBER/OCTOBER,SHORE,INLAND,7138,37.5
FINAL,2011,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),12009,26.5
FINAL,2011,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),23311,25.2
FINAL,2011,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,177,99.8
FINAL,2011,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),165458,14.7
FINAL,2011,NOVEMBER/DECEMBER,SHORE,INLAND,9192,35.2
FINAL,2011,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),15319,32.4
FINAL,2011,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),20243,31.8
FINAL,2011,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,2462,43.5
FINAL,2012,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),172433,15.4
FINAL,2012,JANUARY/FEBRUARY,SHORE,INLAND,1895,71.2
FINAL,2012,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),20446,29.2
FINAL,2012,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),29335,28.7
FINAL,2012,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,1333,47.8
FINAL,2012,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),178508,20.3
FINAL,2012,MARCH/APRIL,SHORE,INLAND,28351,26.7
FINAL,2012,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),20929,23.7
FINAL,2012,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),25162,23.3
FINAL,2012,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,2352,37.5
FINAL,2012,MAY/JUNE,SHORE,OCEAN (<= 3 MI),173352,14.8
FINAL,2012,MAY/JUNE,SHORE,INLAND,28402,22.4
FINAL,2012,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),31653,27.5
FINAL,2012,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),52977,26.7
